,State,Locale,Load Level,File Dir
135,CO,Eagle County Rgnl AP,BASE,residential_load_data/BASE/USA_CO_Eagle.County.Rgnl.AP.724675_TMY3_BASE.csv
136,CO,Fort Collins AWOS,BASE,residential_load_data/BASE/USA_CO_Fort.Collins.AWOS.724769_TMY3_BASE.csv
137,CO,Golden-NREL,BASE,residential_load_data/BASE/USA_CO_Golden-NREL.724666_TMY3_BASE.csv
138,CO,Grand Junction-Walker Field,BASE,residential_load_data/BASE/USA_CO_Grand.Junction-Walker.Field.724760_TMY3_BASE.csv
139,CO,Greeley-Weld County AWOS,BASE,residential_load_data/BASE/USA_CO_Greeley-Weld.County.AWOS.724768_TMY3_BASE.csv
140,CO,Gunnison County AWOS,BASE,residential_load_data/BASE/USA_CO_Gunnison.County.AWOS.724677_TMY3_BASE.csv
141,CO,Hayden-Yampa AWOS,BASE,residential_load_data/BASE/USA_CO_Hayden-Yampa.AWOS.725715_TMY3_BASE.csv
142,CO,La Junta Muni AP,BASE,residential_load_data/BASE/USA_CO_La.Junta.Muni.AP.724635_TMY3_BASE.csv
143,CO,Lamar Muni AP,BASE,residential_load_data/BASE/USA_CO_Lamar.Muni.AP.724636_TMY3_BASE.csv
144,CO,Leadville-Lake County AP,BASE,residential_load_data/BASE/USA_CO_Leadville-Lake.County.AP.724673_TMY3_BASE.csv
145,CO,Limon Muni AP,BASE,residential_load_data/BASE/USA_CO_Limon.Muni.AP.724665_TMY3_BASE.csv
146,CO,Montrose County AP,BASE,residential_load_data/BASE/USA_CO_Montrose.County.AP.724765_TMY3_BASE.csv
147,CO,Pueblo Mem AP,BASE,residential_load_data/BASE/USA_CO_Pueblo.Mem.AP.724640_TMY3_BASE.csv
148,CO,Rifle-Garfield County Rgnl AP,BASE,residential_load_data/BASE/USA_CO_Rifle-Garfield.County.Rgnl.AP.725717_TMY3_BASE.csv
149,CO,Trinidad-Las Animas County AP,BASE,residential_load_data/BASE/USA_CO_Trinidad-Las.Animas.County.AP.724645_TMY3_BASE.csv
150,CT,Bridgeport-Sikorsky Mem AP,BASE,residential_load_data/BASE/USA_CT_Bridgeport-Sikorsky.Mem.AP.725040_TMY3_BASE.csv
151,CT,Danbury Muni AP,BASE,residential_load_data/BASE/USA_CT_Danbury.Muni.AP.725086_TMY3_BASE.csv
152,CT,Groton-New London AP,BASE,residential_load_data/BASE/USA_CT_Groton-New.London.AP.725046_TMY3_BASE.csv
153,CT,Hartford-Bradley Intl AP,BASE,residential_load_data/BASE/USA_CT_Hartford-Bradley.Intl.AP.725080_TMY3_BASE.csv
154,CT,Hartford-Brainard Field,BASE,residential_load_data/BASE/USA_CT_Hartford-Brainard.Field.725087_TMY3_BASE.csv
155,CT,New Haven-Tweed AP,BASE,residential_load_data/BASE/USA_CT_New.Haven-Tweed.AP.725045_TMY3_BASE.csv
156,CT,Oxford AWOS,BASE,residential_load_data/BASE/USA_CT_Oxford.AWOS.725029_TMY3_BASE.csv
157,DE,Dover AFB,BASE,residential_load_data/BASE/USA_DE_Dover.AFB.724088_TMY3_BASE.csv
158,DE,Wilmington-New Castle County AP,BASE,residential_load_data/BASE/USA_DE_Wilmington-New.Castle.County.AP.724089_TMY3_BASE.csv
159,FL,Crestview-Bob Sikes AP,BASE,residential_load_data/BASE/USA_FL_Crestview-Bob.Sikes.AP.722215_TMY3_BASE.csv
160,FL,Daytona Beach Intl AP,BASE,residential_load_data/BASE/USA_FL_Daytona.Beach.Intl.AP.722056_TMY3_BASE.csv
161,FL,Fort Lauderdale Executive AP,BASE,residential_load_data/BASE/USA_FL_Fort.Lauderdale.Executive.AP.722039_TMY3_BASE.csv
162,FL,Fort Lauderdale Intl AP,BASE,residential_load_data/BASE/USA_FL_Fort.Lauderdale.Intl.AP.722025_TMY3_BASE.csv
163,FL,Fort Myers-Page Field,BASE,residential_load_data/BASE/USA_FL_Fort.Myers-Page.Field.722106_TMY3_BASE.csv
164,FL,Fort Pierce-St Lucie County AP,BASE,residential_load_data/BASE/USA_FL_Fort.Pierce-St.Lucie.County.AP.722103_TMY3_BASE.csv
